['input_random_1_6.txt', 6, 32, 2, 2, 0.0, 0.0, 36, 0.0, 2322.120272119559, 0.0]
['input_random_2_6.txt', 6, 32, 1, 1, 0.0, 0.0, 36, 0.0, 2322.120272119559, 0.015642881393432617]
['input_random_3_6.txt', 6, 32, 3, 3, 0.0, 0.0, 36, 0.0004881918430328369, 2322.120272119559, 0.015622138977050781]
['input_random_4_6.txt', 6, 32, 4, 4, 0.0, 0.0, 36, 0.0, 2322.120272119559, 0.0]
['input_random_5_10.txt', 10, 115, 4, 4, 0.0, 0.015634775161743164, 100, 0.0001359545666238536, 23025.850929940458, 0.03124380111694336]
['input_random_6_10.txt', 10, 115, 3, 3, 0.0, 0.0, 100, 0.00027167071466860566, 23025.850929940458, 0.03124213218688965]
['input_random_7_10.txt', 10, 115, 2, 2, 0.0, 0.0, 100, 0.0, 23025.850929940458, 0.0]
['input_random_8_10.txt', 10, 115, 1, 1, 0.0, 0.0, 100, 0.00013582602791164231, 23025.850929940458, 0.015619993209838867]
['input_random_9_25.txt', 25, 1005, 7, 7, 0.0, 0.0, 625, 6.218003989452153e-05, 1257373.3690891408, 0.18746185302734375]
['input_random_10_25.txt', 25, 1005, 6, 6, 0.0, 0.0, 625, 3.10876476230906e-05, 1257373.3690891408, 0.1405940055847168]
['input_random_11_25.txt', 25, 1005, 8, 8, 0.0, 0.015583992004394531, 625, 9.322759523913635e-05, 1257373.3690891408, 0.1562049388885498]
['input_random_12_25.txt', 25, 1005, 9, 9, 0.0, 0.0, 625, 7.771733981459888e-05, 1257373.3690891408, 0.1249699592590332]
['input_random_13_50.txt', 50, 4890, 15, 15, 0.0, 0.1405949592590332, 2500, 0.0006069701629669876, 24450143.783925913, 3.983441114425659]
['input_random_14_50.txt', 50, 4890, 16, 16, 0.0, 0.12497401237487793, 2500, 0.0006133647052788295, 24450143.783925913, 3.9834420680999756]
['input_random_15_50.txt', 50, 4890, 14, 14, 0.0, 0.0, 2500, 0.0005047284264749788, 24450143.783925913, 3.3117239475250244]
['input_random_16_50.txt', 50, 4890, 10, 10, 0.0, 0.0, 2500, 0.0005467296378012815, 24450143.783925913, 3.501971960067749]
['input_random_17_75.txt', 75, 12142, 19, 19, 0.0, 0.07811093330383301, 5625, 0.0020220035619897517, 136608022.3423598, 28.714672803878784]
['input_random_18_75.txt', 75, 12142, 15, 15, 0.0, 0.2031090259552002, 5625, 0.0023543936203661436, 136608022.3423598, 33.054750204086304]
['input_random_19_75.txt', 75, 12142, 18, 18, 0.0, 0.07813596725463867, 5625, 0.002278483889873054, 136608022.3423598, 31.851933002471924]
['input_random_20_75.txt', 75, 12142, 16, 16, 0.0, 0.015622138977050781, 5625, 0.0018513419839817852, 136608022.3423598, 26.571893215179443]
['input_random_21_100.txt', 100, 23025, 22, 22, 0.0, 0.062486886978149414, 10000, 0.0059017331851292385, 460517018.5988092, 149.6351819038391]
['input_random_22_100.txt', 100, 23025, 23, 23, 0.0, 0.14059185981750488, 10000, 0.00594132314675794, 460517018.5988092, 152.9485149383545]
['input_random_23_100.txt', 100, 23025, 19, 19, 0.0, 2.874300003051758, 10000, 0.006374156871137091, 460517018.5988092, 160.58992719650269]
['input_random_24_100.txt', 100, 23025, 24, 24, 0.0, 1.1403319835662842, 10000, 0.006460318529126957, 460517018.5988092, 163.37046003341675]
['input_random_25_125.txt', 125, 37721, 34, 34, 0.0, 0.21872806549072266, 15625, 0.007461904932701026, 1178787533.5210698, 300.0129189491272]
['input_random_26_125.txt', 125, 37721, 29, 29, 0.0, 0.20310688018798828, 15625, 0.007473004293771707, 1178787533.5210698, 300.0084888935089]
['input_random_27_125.txt', 125, 37721, 36, 36, 0.0, 0.21872901916503906, 15625, 0.007512010833636273, 1178787533.5210698, 300.0128028392792]
['input_random_28_125.txt', 125, 37721, 31, 31, 0.0, 0.874824047088623, 15625, 0.0074668680286961156, 1178787533.5210698, 300.0129289627075]
['input_random_29_150.txt', 150, 56369, 37, 37, 0.0, 6.576610088348389, 22500, 0.005116352094901236, 2536634117.6362295, 300.010409116745]
['input_random_30_150.txt', 150, 56369, 35, 35, 0.0, 8.529255151748657, 22500, 0.005096733243361925, 2536634117.6362295, 300.01360511779785]
['input_random_31_150.txt', 150, 56369, 41, 41, 0.0, 0.6092579364776611, 22500, 0.005101709326593996, 2536634117.6362295, 300.01289081573486]
['input_random_32_150.txt', 150, 56369, 39, 39, 0.0, 7.7169411182403564, 22500, 0.0051060994404111635, 2536634117.6362295, 300.0261170864105]
['input_random_33_175.txt', 175, 79085, 42, 42, 0.0, 12.38769006729126, 30625, 0.003681716423326492, 4844004345.074359, 300.02611899375916]
['input_random_34_175.txt', 175, 79085, 45, 45, 0.0, 3.7803640365600586, 30625, 0.0036764184209318704, 4844004345.074359, 300.07539916038513]
['input_random_35_175.txt', 175, 79085, 53, 53, 0.0, 8.872919797897339, 30625, 0.003689057095777207, 4844004345.074359, 300.04400992393494]
['input_random_36_175.txt', 175, 79085, 43, 43, 0.0, 1.3746769428253174, 30625, 0.0036815183295487316, 4844004345.074359, 300.0571939945221]
['input_random_37_200.txt', 200, 105966, 54, 54, 0.0, 2.24947190284729, 40000, 0.002775495387985719, 8477307786.476858, 300.0755338668823]
['input_random_38_200.txt', 200, 105966, 52, 52, 0.0, 16.2149498462677, 40000, 0.0027685748188244945, 8477307786.476858, 300.0295557975769]
['input_random_39_200.txt', 200, 105966, 51, 51, 0.0, 41.334060192108154, 40000, 0.0027729890364661725, 8477307786.476858, 300.07549810409546]
